id|category_id|subcategory_id|touristic_place_id
53|Arquitectura y espacios urbanos|Complejo Monumental|QUINTA HEEREN 
54|Arquitectura y espacios urbanos|Santuario|SANTUARIO Y MONASTERIO DE LAS NAZARENAS
55|Arquitectura y espacios urbanos|Parques|PARQUE DE LA MURALLA
56|Arquitectura y espacios urbanos|Otros - Teatros|TEATRO MUNICIPAL DE LIMA
57|Museos y otros|Museos|MUSEO NUMISMÁTICO DEL PERÚ 
58|Museos y otros|Museos| MUSEO ELECTORAL Y DE LA DEMOCRACIA
59|Museos y otros|Museos| MUSEO DE ARTE ITALIANO
60|Museos y otros|Museos|MUSEO ETNOGRAFICO DEL C.C JOSÉ PÍO AZA
61|Museos y otros|Museos|CASA MUSEO DE LA LITERATURA
62|Museos y otros|Museos|MUSEO DE ARQUEOLOGÍA Y ANTROPOLOGÍA UNMSM
63|Arquitectura y espacios urbanos|Plazas|PLAZA SAN MARTÍN
64|Museos y otros|Museos|MUSEO POSTAL Y FILATÉLICO DEL PERÚ
65|Museos y otros|Museos|MUSEO JOSEFINA RAMOS DE COX
66|Arquitectura y espacios urbanos|Parques|PARQUE DE LA EXPOSICIÓN DE LIMA
67|Museos y otros|Museos|MUSEO GRÁFICO DEL DIARIO EL PERUANO
68|Lugares históricos|Barrios históricos|BARRIO CHINO
69|Museo y otros|Museos|MUSEO NUMISMÁTICO DEL BANCO DE CRÉDITO DEL PERÚ
70|Arquitectura y espacios urbanos|Plazas|PLAZA DOS DE MAYO
71|Museos y otros|Museos|MUSEO DE ANTROPOLOGÍA Y ARQUEOLOGÍA DE LA UNIVERSIDAD NACIONAL FEDERICO VILLARREAL
72|Arquitectura y espacios urbanos|Plazuelas|PLAZA PERÚ
73|Museos y otros|Museos|MUSEO LEGIÓN DE CABALLERÍA DEL PERÚ
74|Ferias y mercados|Mercados  Artesanales|MERCADOS ARTESANALES LA MARINA
75|Centros Científicos y Técnicos|Zoológicos|PARQUE DE LAS LEYENDAS
76|Zonas paisajísticas|Bosques|BOSQUE EL OLIVAR DE SAN ISIDRO
77|Museos y otros|Museos|MUSEO DE ARTE CONTEMPORÁNEO DE LIMA MAC-LIMA
78|Arquitectura y espacios urbanos|Malecones|MALECÓN GRAU
79|Arquitectura y espacios urbanos|Miradores|MIRADOR CATALINA RECAVARREN
80|Museos y otros|Museos|MUSEO DE SITIO ANDRES AVELINO CACERES
81|Arquitectura y espacios urbanos|Parques|CAMPO DE MARTE
82|Arquitectura y espacios urbanos|Parques|PARQUE ITZHAK RABIN
83|Arquitectura y espacios urbanos|Parques|PARQUE ALBERTO ANDRADE CARMONA (PARQUE DEL AMOR)
84|Arquitectura y espacios urbanos|Parques|PARQUE RAIMONDI
85|Arquitectura y espacios urbanos|Parques|PARQUE MARÍA REICHE
86|Arquitectura y espacios urbanos|Parques|PARQUE TRADICIONES
87|Museos y otros|Museos|LUGAR DE LA MEMORIA, LA TOLERANCIA Y LA INCLUSIÓN SOCIAL - LUM
88|Arquitectura y espacios urbanos|Parques|PARQUE DOMODOSSOLA
