name|cost_info|price|schedule_info|historic_info|long_info|short_info|activities_info|longitude|latitude|province_id|type_place_id
PLAZA FRANCIA O PLAZA DE LA RECOLETA|Libre|0|Todo el día|Debió su nombre a la presencia de la Iglesia de la Recoleta, cuya fachada neogótica persiste hasta nuestros días.|Plaza en forma de triángulo con un área de 5 100 m. en donde se distribuyen 24 bancas sobre piso adoquinado con laja. A fines del siglo XIX la rodeaban unas columnas de 5 m. de altura que sostenían una ramada que albergaba un mercado con puestos de carne, papas y otras especies como telas. |La plaza francia tiene una estupenda iglesia de estilo Gotico con un azul impresionante que contraste con el cielo gris de Lima. |Realización de eventos|-12.0532279346156|-77.0378246588954|Lima|Manifestaciones culturales
BIBLIOTECA MUNICIPAL MANUEL BEINGOLEA|Libre|0|Lunes a Viernes 8:00 a.m. - 8:00 p.m.|La actual Biblioteca Municipal fue inaugurada el 01 de octubre de 1922 por el Alcalde Don Enrique de las Casas, local destinado a las áreas administrativas de la Municipalidad, cuyos planos fueron aprobados por sesión de concejo el 23 de enero de 1898, obra del Ing. Teodoro Elmore y dibujado por el Sr. Pedro Giraldino. En 1958 la Biblioteca Municipal, funcionó en el Parque de la Confraternidad con 3495 volúmenes, siendo Alcalde el Sr. Manuel Campodónico, fue bendecida por el padre Ricardo Wiese Thorndike|Desde el año de 1976 la Biblioteca se encuentra en el Parque Municipal. El inmueble es de estilo neoclásico, área del terreno de 408.04 mtrs.2, de un solo nivel, sobre muros de adobe y techada con viguería de madera, presenta una disposición semejante a la fachada de los ranchos, pero con una torre central para darle carácter cívico. La fachada en simétrica y tripartida, con dos ventanas a los lados y un pórtico con dos columnas al centro, que limita a la vereda y dos pilastras adosadas a los muros laterales de secciones circular y semicircular respectivamente, una torre, el entablamento|La actual Biblioteca Municipal fue inaugurada el 01 de octubre de 1922 por el Alcalde Don Enrique de las Casas, local destinado a las áreas administrativas de la Municipalidad|Brinda los servicios de préstamo de libro a domicilio, lectura en sala, círculo de lectura, salas de lectura y estudio con estantería abierta, wifi, exhibiciones, exposiciones y presentaciones en apoyo a la educación en todos sus niveles.|-12.149772|-77.02121|Lima|Manifestaciones culturales
PLAZA BOLOGNESI|Libre|0|Todo el día.|Fue inaugurada el 7 de junio de 1906, siendo presidente de la república el Dr. José Pardo. |Los bordes de la plaza están formados por manzanas de corte radial, repitiendo sus fachadas los mismos patrones arquitectónicos. Su diseño posee un conjunto armónico de edificios a su alrededor, de estilos afrancesado, neo hispano, art nouveau y ecléctico, caracterizados por estar totalmente pintados de naranja pálido. |La Plaza Bolognesi es un espacio público de inspiración francesa, construido en memoria de Don Francisco Bolognesi, patrono del Ejército Peruano y héroe de la Guerra del Pacífico.|Actividades Sociales, Toma de fotografías y filmaciones|-12.0603085079686|-77.041512364418|Lima|Manifestaciones culturales
PARQUE MUNICIPAL DE BARRANCO|Libre|0|Todo el día.|Este hermoso y tradicional parque barranquino fue inaugurado el domingo 13 de febrero de 1898, siendo Alcalde don Pedro Solari. Según las actas tenemos los siguientes datos: El parque tenia palmeras, jacarandas, magnolias, ficus y pinos, los cuales estaban resguardados por ladrillos y rejillas de madera. El riego estaba servido por tubos de terracota. Contaba con 20 bancas de madera de rejilla y 20 corrientes|En 1940, el Alcalde Manuel Montero Bernales remodeló el Parque tal cual el diseño actual: a) La Pérgola: Esta fue incluida en la remodelación del Parque Municipal para contar con un escenario apropiado para las orquestas y artistas que intervenían en las Fiestas del Carnaval y en las ceremonias, festejos y representaciones diversas, cuenta con una plataforma amplia, con una banca de cemento en forma de media luna y con ocho columnas que sostienen el arco ornamental, dos escalinatas de acceso y jardines frontales. |Parque arbolado, famoso por sus eventos de fin de semana, con caminos pavimentados, estatuas elegantes y un escenario con columnas.|Actividades Culturales, Compras de artesanía /Souvenir, Toma de fotografías|-12.14943|-77.021285|Lima|Manifestaciones culturales
MUSEO NACIONAL DE ARQUEOLOGÍA, ANTROPOLOGÍA E HISTORIA DEL PERU|Previa presentación de boleto o ticket|Adultos: S/. 11.50 nuevos soles Estudiantes de educación superior, docentes y jubilados: S/. 3.50|De martes - sabado de 9am - 5pm|En 1924 se funda el Museo de Arqueología Peruana bajo la dirección de Julio C. Tello y a inicios de 1930 la colección se traslada provisionalmente al Museo Bolivariano y años más tarde, a su actual local (frente a la Plaza Mayor). |Su recorrido abarca dos edificaciones, la antigua casa colonial edificada por el virrey Joaquín de la Pezuela como casa de descanso, habitada luego por José de San Martín y Simón Bolívar llamándose desde entonces Quinta de Los Libertadores. En él se fundó el Museo Bolivariano en 1924. El edificio moderno alberga desde la década de 1930 la colección arqueológica que ha tenido a su vez una larga trayectoria desde el siglo XIX cuando se creó el Museo Nacional. |Su importancia radica en el vasto y variado patrimonio cultural que albergan sus salas de exposición y depósitos, permitiendo a sus visitantes conocer la historia más completa del Perú.|Actividades Culturales, Actividades Sociales, Estudios e Investigación, Compras de artesanía /Souvenir|-12.0771183114216|-77.0621343411045|Lima|Manifestaciones culturales
MUSEO AMANO|Previa presentación de boleto o ticket|Entrada General: S/. 30, Adultos Peruanos Mayores de 65 años: S/. 20, Estudiantes Peruanos: S/. 10|Martes a Domingo 10 am - 5 pm|El museo es de propiedad privada, su construcción, así como la decoración fue diseñada por el propio señor Yoshitaro Amano, fundador del museo. El señor Amano, empresario de nacionalidad japonesa, escribió más de una decena de libros en idioma japonés referentes a temas arqueológicos del Perú. En 1951 al establecerse en el Perú, llegó a Chancay mientras recorría todo el país visitando los lugares arqueológicos, que apreció por primera vez en 1931 cuando vino de Panamá para conocer Machupicchu. |La colección reúne un gran número de piezas arqueológicas; consta esencialmente de dos salas: La primera, exhibe cronológicamente una selecta muestra de cerámica donde sobresalen ejemplares de la Cultura Kotosh, Moche, Chimu, Cupisnique, Nazca entre otras. Se exponen en la vitrina central ceramios que representan productos autóctonos, utensilios y todo lo que nos da una idea de cómo vivían los antiguos peruanos. |Es parte de la iniciativa del exitoso empresario japonés, Yoshitaro Amano, por proteger la herencia cultural del Perú de la destrucción y del saqueo.|SECUENCIA CRONOLÓGICA TEXTIL, SALA DE MATERIAS PRIMAS Y HERRAMIENTAS TEXTILES, SALA YOSHITARO AMANO|-12.1140883775193|-77.0408979533729|Lima|Manifestaciones culturales
MUSEO NACIONAL DE LA CULTURA PERUANA|Previa presentación de boleto o ticket|Adultos S/. 6.00; Estudiantes de educación superior S/. 3.00|10:00 a.m. - 05:00 p.m. Martes a sábados|Fundado en 1946 a iniciativa de un grupo de intelectuales liderados por Luis Valcárcel, promotor del indigenismo y el primer etnólogo del Perú, y el reconocido pintor indigenista José Sabogal, quien desde 1931 investigaba, promovía y coleccionaba arte popular de las regiones del país a través del Instituto de Arte Peruano|Expone piezas de arte popular de distintas regiones del país. En el primer piso se hallan cuatro salas, incluyendo la Sala de Exposiciones Temporales. La sala de “Arte Popular: Orígenes”, muestra queros, tejidos, mates burilados y piezas artísticas de origen colonial. La sala “Arte Popular: Regiones”, exhibe obras de distintas regiones de nuestro país, donde resaltan los “Retablos Ayacuchanos”, platería, imaginería y cerámica, obras de destacados maestros como Joaquín López Antay, Edilberto Mérida, Mamerto Sánchez e Hilario Mendivil. La sala “Arte Popular: Funciones”, objetos artísticos usados en rituales, celebraciones y otros eventos tradicionales de diversos pueblos y regiones, como las Cruces de Caminos y los “Wajarapucos”. |El Museo Nacional de la Cultura Peruana es un museo peruano, que está situado en Lima.​ El museo está dedicado al arte popular peruano. |Actividades Culturales, Compras de artesanía /Souvenir, Estudios e Investigación, Toma de fotografías y filmaciones|-12.0478782462588|-77.0430332711639|Lima|Manifestaciones culturales
MUSEO DE ARTE DE LA UNIVERSIDAD NACIONAL DE SAN MARCOS|Libre|0|Lun-Sab 10:00 am. a 1:00 pm./2:00 pm. a 5.00 pm|Se creó en 1970. Cuenta con las colecciones de retratos de figuras ilustres, de arte popular, de reproducciones pictóricas y de arte contemporáneo. Esta última se formó, principalmente, a raíz de los Festivales de Arte que otorgaban los Premios Nacionales en la década del 70 y cuyas piezas ganadoras eran donadas por sus respectivos autores. Figuran pintores de la talla de José Sabogal, teodoro Nuñez Ureta, Eduardo Tokeshi y Milner Cajahuaringa.|La colección de arte popular reúne más de mil piezas procedentes de Ayacucho, Junín, Cusco y Puno; obras de afamados artesanos como el retablista Joaquín López Antay, el imaginero Hilario Mendívil y el ceramista Leoncio Tineo. Gran parte de la colección fue legado de las hermanas Alicia y Cecilia Bustamante, incrementada posteriormente con la colección de Pablo Macera.|El Museo de Arte de la Universidad Nacional Mayor de San Marcos, es una institución académica ubicada en el Cercado de Lima, en Lima, Perú. El museo está encargado de reunir, conservar, exhibir y estudiar el patrimonio histórico y artístico de la universidad, del Perú y de la humanidad.|Actividades Culturales, Estudios e Investigación, Talleres|-12.0546248691904|-77.0321553177909|Lima|Manifestaciones culturales
CASA MUSEO RICARDO PALMA|Previa presentación de boleto o ticket|Adultos S/ 6.00, Estudiantes y adultos mayores S/ 3.00|Lunes a Viernes de 9:00 am a 12:30pm / 2:00 pm a 4:00 pm|En este lugar Ricardo Palma transcurrió su sereno ocaso, recibiendo la permanente visita de los escritores, estudiantes y el homenaje de los niños y del hombre de pueblo en sus diarios paseos por la alameda que hoy lleva su nombre. Al dejar de existir Don Ricardo Palma, la vivienda fue ocupada por un colegio que funcionó hasta 1967. |En esta casa vivió el ilustre escritor de las tradiciones peruanas hasta sus últimos días (1913- 1919). Declarado como Patrimonio Cultural Inmueble Republicano mediante la Ley No. 13898, con fecha 19 de enero de 1962. La construcción de la casa, data de fines de siglo pasado y primeros años del presente siglo. El estilo de construcción responde al tipo de vivienda que eran comunes en Miraflores para las casas huertas o rancherías. En el interior se aprecian diversos ambientes, el escritorio, biblioteca, dormitorio, sala, utensilios, murales de la época, fotografías, etc. |La Casa Museo Ricardo Palma es una casa museo ubicada en el distrito de Miraflores, en Lima, y está dedicada al escritor peruano Ricardo Palma, autor de Tradiciones Peruanas.|Actividades Culturales, Actividades Sociales, Toma de fotografías y filmaciones|-12.1184603775622|-77.027613682209|Lima|Manifestaciones culturales
CASA MUSEO JULIA CODESIDO|Libre|0|De lunes a domingo de 9 a.m. a 6 p.m.|Lugar que habitó la destacada pintora quien tuvo una destacada trayectoria como artista y que fue además, una de las máximas exponentes del arte indigenista peruano. Sus visitantes pueden apreciar una colección de sus cuadros, así como recorrer los ambientes donde realizaba sus pintura, los ambientes de su residencia estan rodeados de jardines y que fue proyectada por José Sabogal, exponente principal del indigenismo y gran amigo suyo. Entre los ambientes se cuenta el taller en el que Julia Codesido dedicó muchas horas de trabajo.| Sus visitantes pueden apreciar una colección de cuadros extraordinarios de la destacada artista.La ambientación de la residencia rodeada de jardines fue proyectada por José Sabogal, extraordinario pintor y gran amigo suyo. Entre los ambientes se cuenta el taller en el que Julia Codesido dedicó muchas horas a la pintura y mitigó su soledad.Atiende previa cita al teléfono, en Paso de los Andes 500.|Lugar que habitó la destacada pintora costumbrista.|Actividades Culturales, Actividades Sociales, Toma de fotografías y filmaciones|-12.076221|-77.058781|Lima|Manifestaciones culturales
PARQUE FEDERICO VILLARREAL|Libre|0|Todo el día.|Hay referencias de fines del siglo XIX que a la plaza se le llamaba Alfonso Ugarte, y posteriormente Plaza Bolívar, en los terrenos que separó el Párroco Manuel de la Fuente Chávez, y que finalmente tomó el nombre del eminente sabio Lambayecano Don Federico Villarreal, quien tuvo su vivienda en los terrenos donde se ubica el actual recurso. La Plazuela servía de zona de intercambio entre la zona norte de La Ermita con el Parque Municipal y la Bajada de los Baños.|El Parque Federico Villarreal se ubica entre el Jr. Sucre y la Bajada de Baños, ocupa las áreas del barranco y en él se ubica un monumento con una placa conmemorativa, fue inaugurado el 28 de Julio de 1926, siendo el Alcalde Enrique De Las Casas.|El recurso sirve como lugar para observar el paisaje de la zona, donde se ubica el conjunto más importante del distrito: la Ermita, el Puente de los Suspiros y la Bajada de los Baños. |Toma de fotografías |-12.148688827582|-77.0228934288024|Lima|Manifestaciones culturales
PLAZA SANTISIMA CRUZ DEL VIAJERO|Libre|0|Todo el día.|-|La plazoleta que lleva el nombre La Cruz del Viajero.  Su ubicación inicial se encontraba entre los jirones Torre Tagle y Julio C. Tello hasta 1947 cuando se inaugura la plazoleta. Este Santo Madero fue donado a los Franciscanos y entre él se inclinaban los viajeros que viajaban hacia Lima y Callao. |Fue colocada hace aproximadamente 400 años como parte de la política de evangelización y para proteger a los agricultores y viajeros que iban camino a Lima y al Callao. |Toma de fotografías y filmaciones|-12.078499|-77.0650019999999|Lima|Manifestaciones culturales
MUSEO LARCO HERRERA|Previa presentación de boleto o ticket|Entrada general: S/. 30.00Adulto mayor: S/. 25.00 (Mayor de 65 años, presentando DNI)Estudiantes y menores de 15 años: S/. 15.00|Lun - Dom 09:00 - 18:00|-|A fines de 1940 Rafael Larco Hoyle se traslada a Lima y trae toda la colección a la capital. Se construyó así el nuevo museo en el estilo arquitectónico del siglo XVIII incorporando rejas, puertas, columnas, vigas y cerrojos de la casa solariega de los marqueses de Herrera y Villa Hermosa en Trujillo. El edificio se construyó sobre una pirámide precolombina del siglo VII. Paralelamente se creó la Fundación que garantizara la permanencia del Museo y el mantenimiento de las colecciones. Actualmente el Museo Larco exhibe de manera cronológica galerías impresionantes que muestran un panorama excepcional de 4000 años de desarrollo de la historia del Perú precolombino.|El Museo Rafael Larco Herrera fue fundado en el año de 1926 en la Hacienda Chiclín (valle de Chicama cerca de Trujillo) por Rafael Larco Hoyle, para proteger las riquezas arqueológicas del Perú y como monumento a su padre que aún vivía. |Compras de artesanía /Souvenir, Realización de eventos|-12.0725069831087|-77.070841364418|Lima|Manifestaciones culturales
PARQUE CENTRAL|Libre|0|Todo el día.|-|Calificado como el emblema de Miraflores, siendo la más elocuente muestra de esa combinación de modernidad, naturaleza y hospitalidad que el distrito brinda a sus vecinos y a sus miles de visitantes. Motivo por el cual la administración decidió unir los Parques 7 de Junio y Kennedy a fin de convertirlos en sitios que simbolicen no solo el progreso alcanzado por la urbe, sino transformarlos en el emblema distrital, de su empuje, su florecimiento y la tradicional hospitalidad de sus moradores.|Fue puesto en servicio en abril de 1992 después de su remodelación integral, cuya remodelación inició en el 1991 la cual incluía un paseo peatonal con 80 variedades de flores, 70 árboles y palmeras que abarcan el 70 por ciento de su área total.|Actividades Culturales, Compras de artesanía /Souvenir, Realización de eventos, Toma de fotografías y filmaciones|-12.120669785048|-77.0295023918151|Lima|Manifestaciones culturales
PARQUE EL CARMEN|Libre|0|Todo el día.|-|Cuenta con un emblemático árbol que mide 30 metros de altura y es el más antiguo y grande de Lima. De acuerdo con la tradición popular el árbol fue sembrado por el libertador Don José de San Martín durante su estadía en el distrito hacia 1821.|Es unos de los parques más grandes del distrito que conserva el famoso árbol Ombú, un ejemplar de árboles herbáceos nativos de las pampas argentinas|Toma de fotografías y filmaciones|-12.0738979999999|-77.0684059533729|Lima|Manifestaciones culturales
PARQUE DEL FARO DE LA MARINA|Libre|0|Todo el día.|-|En este lugar se halla el tradicional “Faro de la Marina” punto de orientación y referencia para los navegantes, fue inaugurada el 29 de diciembre de 1973, el faro estuvo originalmente en Punta Coles (Moquegua), luego de 52 años de servicio se trasladó por partes a la cuidad de Lima, dándosele su ubicación definitiva en Miraflores.|Esta plaza es ideal para caminatas entre amplias áreas verdes y para divisar el paisaje marino. |Observación de paisaje, Realización de eventos, Toma de fotografías y filmaciones|-12.1046830582978|-77.0311358571052|Lima|Manifestaciones culturales
PARQUE ALFREDO SALAZAR|Libre|0|Todo el día.|-|Fue construido en honor al alférez FAP Alfredo Salazar Southwell (Lima 1913- 1937) en el año de 1953, quien a los 24 años se inmoló en los cielos de Miraflores al preferir enrumbar su avión con dirección al mar, donde se encuentra hoy el parque, para evitar la tragedia que hubiera causado su avión en llamas al estrellarse contra las viviendas de la ciudad. Al darse cuenta de que su avión se había averiado, y al no poder hallar lugar adecuado para aterrizar, en lugar de salvarse lanzándose de un paracaídas, alejó el avión de zona urbana para terminar cayendo sobre el acantilado miraflorino.|En 1953 se inauguró el parque y se colocó un monumento a la memoria de Alfredo Salazar por su heróica acción; la obra fue del escultor húngaro Lajos D´Ebneth.|Actividades Culturales, Toma de fotografías y filmaciones|-12.1313860727823|-77.030379474163|Lima|Manifestaciones culturales
PALACIO MUNICIPAL DE MIRAFLORES|Libre|0|PALACIO L-V 8:00-18:00/SALA LMQG Mar-D 11:00-22:00|-|La construcción, de estilo neocolonial, fue diseñado por el arquitecto peruano Luis Miro Quesada Garland. Cuenta con tres pisos y luce en su esquina principal una imponente portada de granito de dos cuerpos que se yergue hasta el tercer nivel de la edificación; flanqueando el pórtico de ingreso muestra columnas adosadas con capiteles corintios, con una ornamentación de rombos en sus tercios inferiores. |El Palacio Municipal de Miraflores es la sede principal del gobierno municipal y fue inaugurado el 28 de julio de 1944.|Actividades Culturales, Actividades Sociales|-12.1217075518889|-77.0291889914016|Lima|Manifestaciones culturales
